Rank,Pos,Player,School,PFF Grade,PFF WAA,Notes,Overall Score,Score Label
"28","CB","Cam Calhoun","Alabama Crimson Tide","60.6","0.011","","","Not Scored"
"29","CB","A.J. Harris","Penn State Nittany Lions","60.7","-0.072","","","Not Scored"
"30","LB","Lander Barton","Utah Utes","60.9","-0.062","","","Not Scored"
"31","HB","CJ Baxter","Texas Longhorns","61.0","-0.065","","","Not Scored"
"32","LB","Harold Perkins Jr.","LSU Tigers","61.0","-0.112","","","Not Scored"
"33","G","Tomas Rimac","Virginia Tech Hokies","61.1","0.011","","","Not Scored"
"34","CB","Jermaine Mathews Jr.","Ohio State Buckeyes","62.1","-0.007","","","Not Scored"
"35","G","Joshua Braun","Kentucky Wildcats","62.2","0.025","","","Not Scored"
"36","WR","Johntay Cook","Syracuse Orange","62.2","-0.104","","","Not Scored"
"37","WR","J. Michael Sturdivant","Florida Gators","62.3","-0.006","","","Not Scored"
"38","G","Chase Bisontis","Texas A&M Aggies","62.4","0.074","","","Not Scored"
"39","TE","RJ Maryland","SMU Mustangs","62.4","0.027","","","Not Scored"
"40","TE","Oscar Delp","Georgia Bulldogs","62.5","0.087","","","Not Scored"
"41","CB","Raion Strader","Auburn Tigers","62.7","0.004","","","Not Scored"
"42","C","Connor Tollison","Missouri Tigers","62.7","-0.037","","","Not Scored"
"43","TE","Marlin Klein","Michigan Wolverines","62.8","-0.013","","","Not Scored"
"44","TE","Jack Velling","Michigan State Spartans","62.8","0.019","","","Not Scored"
"45","TE","Miles Kitselman","Tennessee Volunteers","63.1","0.016","","","Not Scored"
"46","T","Earnest Greene III","Georgia Bulldogs","63.2","-0.001","","","Not Scored"
"47","CB","Tyreek Chappell","Texas A&M Aggies","63.2","-0.017","","","Not Scored"
"48","QB","Aidan Chiles","Michigan State Spartans","63.4","-0.193","","","Not Scored"
"49","T","Riley Mahlman","Wisconsin Badgers","63.4","0.014","","","Not Scored"
"50","DI","Keanu Tanuvasa","BYU Cougars","63.7","-0.023","","","Not Scored"
"51","T","Niki Prongos","Stanford Cardinal","63.9","0.007","","","Not Scored"
"52","DI","Zane Durant","Penn State Nittany Lions","63.9","-0.041","","","Not Scored"
"53","TE","Jaren Kanak","Oklahoma Sooners","63.9","0.056","","","Not Scored"
"54","S","Rod Moore","Michigan Wolverines","64.0","0.002","","","Not Scored"
"55","QB","John Mateer","Oklahoma Sooners","64.0","-0.354","","","Not Scored"
"56","WR","Deion Burks","Oklahoma Sooners","64.1","-0.059","","","Not Scored"
"57","ED","LT Overton","Alabama Crimson Tide","64.2","-0.060","","","Not Scored"
"58","WR","Eric Singleton Jr.","Auburn Tigers","64.7","-0.069","","","Not Scored"
"59","ED","Tyreak Sapp","Florida Gators","64.9","0.013","","","Not Scored"
"60","T","Isaiah World","Oregon Ducks","65.1","0.047","","","Not Scored"
"61","T","Dametrious Crownover","Texas A&M Aggies","65.2","0.070","","","Not Scored"
"62","ED","TJ Guy","Michigan Wolverines","65.3","0.016","","","Not Scored"
"63","C","Parker Brailsford","Alabama Crimson Tide","65.6","0.020","","","Not Scored"
"64","WR","Dane Key","Nebraska Cornhuskers","65.9","-0.007","","","Not Scored"
